iter	Passed	Remaining
398	34160	19349
399	34261	19271
400	34394	19212
401	34506	19141
402	34605	19062
403	34695	18979
404	34836	18923
405	34958	18856
406	35063	18780
407	35153	18696
408	35228	18604
409	35360	18542
410	35482	18475
411	35660	18435
412	35734	18343
413	35838	18265
414	35925	18179
415	36045	18109
416	36170	18042
417	36298	17975
418	36435	17913
419	36580	17854
420	36697	17782
421	36825	17714
422	36957	17648
423	37070	17573
424	37184	17498
425	37303	17425
426	37432	17357
427	37559	17287
428	37700	17224
429	37810	17146
430	37961	17087
431	38080	17012
432	38205	16940
433	38332	16869
434	38458	16797
435	38559	16715
436	38683	16641
437	38767	16551
438	38888	16476
439	39031	16410
440	39118	16321
441	39232	16243
442	39347	16165
443	39441	16078
444	39561	16002
445	39691	15930
446	39816	15855
447	39933	15777
448	40065	15704
449	40160	15617
450	40246	15527
451	40377	15454
452	40491	15374
453	40625	15301
454	40703	15208
455	40820	15128
456	40943	15051
457	41063	14973
458	41194	14898
459	41310	14817
460	41387	14723
461	41507	14644
462	41590	14552
463	41724	14477
464	41853	14401
465	41998	14329
466	42107	14246
467	42228	14166
468	42379	14096
469	42508	14018
470	42595	13927
471	42720	13847
472	42866	13775
473	43014	13702
474	43161	13629
475	43326	13562
476	43479	13490
477	43629	13417
478	43787	13346
479	43933	13271
480	44037	13183
481	44204	13114
482	44310	13027
483	44423	12941
484	44542	12857
485	44695	12783
486	44775	12687
487	44910	12607
488	45025	12522
489	45156	12441
490	45286	12359
491	45414	12276
492	45547	12195
493	45631	12100
494	45757	12016
495	45873	11930
496	45955	11835
497	46076	11750
498	46210	11668
499	46350	11587
500	46436	11493
501	46544	11404
502	46640	11312
503	46763	11227
504	46909	11146
505	47027	11059
506	47148	10973
507	47259	10884
508	47367	10794
509	47492	10709
510	47612	10621
511	47689	10525
512	47803	10436
513	47926	10349
514	48034	10259
515	48167	10174
516	48293	10088
517	48440	10006
518	48550	9915
519	48649	9823
520	48758	9732
521	48883	9645
522	49010	9558
523	49123	9468
524	49257	9382
525	49408	9299
