iter	RMSE
257	0.373101088
258	0.3730321918
259	0.3729638269
260	0.3728171583
261	0.3727324667
262	0.3725602556
263	0.3724566163
264	0.3723281622
265	0.3722943971
266	0.3721998348
267	0.372084007
268	0.3720218984
269	0.3719381262
270	0.3718081557
271	0.3716920689
272	0.3715768138
273	0.371468383
274	0.3714199429
275	0.3713460616
276	0.3712794975
277	0.3712202782
278	0.3711254562
279	0.3709597757
280	0.370873096
281	0.370784802
282	0.3706678266
283	0.3705847499
284	0.3705022006
285	0.3704609273
286	0.3703654198
287	0.3702845227
288	0.3701517674
289	0.3700724697
290	0.3699943774
291	0.3699329454
292	0.3698754532
293	0.3697502305
294	0.369618663
295	0.3695140421
296	0.3694484621
297	0.3693648818
298	0.3692359994
299	0.3691978872
300	0.3691630027
301	0.3690406923
302	0.3690019265
303	0.368876766
304	0.3688462577
305	0.368782031
306	0.368686489
307	0.3685788835
308	0.3684529737
309	0.3683867871
310	0.3683863046
311	0.3683390215
312	0.3682417655
313	0.3681218203
314	0.3680284115
315	0.3679438493
316	0.367834547
317	0.367705596
318	0.3675987818
319	0.3675450911
320	0.3674736326
321	0.3674153776
322	0.3673263744
323	0.3673231054
324	0.3672402302
325	0.3670670606
326	0.367022826
327	0.3669803218
328	0.3669279792
329	0.3668738705
330	0.366838696
331	0.3666867591
332	0.3666494604
333	0.3666140345
334	0.366548761
335	0.3664865613
336	0.3664098718
337	0.3663504402
338	0.3662692578
339	0.3661628518
340	0.3661625283
341	0.3661292948
342	0.3660599316
343	0.3659536478
344	0.3659028089
345	0.3658503966
346	0.3657688582
347	0.365768583
348	0.3656320677
349	0.3655838685
350	0.3654880337
351	0.3653803607
352	0.3653344241
353	0.3652709256
354	0.3652119272
355	0.365105185
356	0.3650580701
357	0.3649907248
358	0.3649905003
359	0.3649380806
360	0.3648373589
361	0.364835552
362	0.364776731
363	0.3647213608
364	0.3646582057
365	0.3644817582
366	0.3644097402
367	0.3643431
368	0.3642773024
369	0.3642274691
370	0.3641362409
371	0.3639635822
372	0.3639086509
373	0.3637653825
374	0.3637228447
375	0.3636379557
376	0.3636005227
377	0.3635865486
378	0.3633874676
379	0.3633311505
380	0.3632867273
381	0.3631995377
382	0.3631430267
383	0.3630904088
384	0.3629874998
385	0.3629672608
386	0.3629065644
387	0.3628905658
388	0.3628153814
389	0.3627686128
390	0.36274986
391	0.3626620233
392	0.3625463228
393	0.3624883175
394	0.3624850106
395	0.3624032043
396	0.3624001131
397	0.3623651862
398	0.3623043997
399	0.3621921769
400	0.3621344678
401	0.3621095804
402	0.3620399563
403	0.3620395401
404	0.3619573755
405	0.3619138596
406	0.3618085197
407	0.3618059446
408	0.361804507
409	0.3617135746
410	0.361698699
411	0.3616090889
412	0.3616055399
413	0.3615819564
414	0.3615813615
415	0.3614645835
416	0.3614618082
417	0.3614070956
418	0.3613025652
419	0.3612361871
420	0.361157743
421	0.3610985114
422	0.3610322912
423	0.3609866398
424	0.3609643239
425	0.3608940193
426	0.3608204502
427	0.3607237536
428	0.3606954668
429	0.3606468341
430	0.3605944563
431	0.3604595571
432	0.3604438588
433	0.3603611265
434	0.3603080656
435	0.3602647741
436	0.3602141364
437	0.3601832447
438	0.3601295656
439	0.3599698665
440	0.3599574198
441	0.3599098553
442	0.3598532189
443	0.3598290805
444	0.3598071256
445	0.3597435996
446	0.3596910991
447	0.3596541795
448	0.3595967221
449	0.3595672309
450	0.3595313275
451	0.3594333369
452	0.3593774561
453	0.3593372745
454	0.3593365702
455	0.3592972458
456	0.3592080656
457	0.3591683643
458	0.359131884
459	0.3590732155
460	0.3589939578
461	0.35897673
462	0.3589742218
463	0.3589319496
464	0.3588792586
465	0.3588409466
466	0.3587768069
467	0.3587267511
468	0.3586738067
469	0.35864968
470	0.3586215986
471	0.3585836329
472	0.3585070532
473	0.3584345024
474	0.3583980702
475	0.3583688354
476	0.3583083913
477	0.3582054455
478	0.358139634
479	0.3581079965
480	0.3581055922
481	0.3580742524
482	0.3580316818
483	0.3579843726
484	0.3579637333
485	0.3579382167
486	0.357887395
487	0.3578493927
488	0.3578490578
489	0.3577934849
490	0.3577711398
491	0.3577509271
492	0.357736123
493	0.3577357764
494	0.3577128214
495	0.3576861858
496	0.3576856617
497	0.3576378396
498	0.3575916503
499	0.3575719813
500	0.357548779
501	0.3575208167
502	0.3575034889
503	0.3574948019
504	0.3574432844
505	0.3573847086
506	0.3573443881
507	0.3573249592
508	0.3572839416
509	0.3572663281
510	0.3572403236
511	0.3572388499
512	0.3572030861
513	0.3571891854
514	0.3571637406
515	0.3571096286
516	0.3570861132
517	0.357043174
518	0.3569590513
519	0.3569588268
520	0.3569106617
521	0.3568993582
522	0.3568339632
523	0.356832527
524	0.3568176049
525	0.3567825322
526	0.3567278588
527	0.3566978184
528	0.3566099611
529	0.3565896843
530	0.356542291
531	0.3565400819
532	0.3565216114
533	0.3565214585
534	0.3565005295
535	0.3564353446
536	0.3563581917
537	0.3563217129
538	0.356270988
539	0.356249461
540	0.3562074028
541	0.3562071342
542	0.3562008302
543	0.3561329735
544	0.3560896345
545	0.356063201
546	0.3559903386
547	0.355889402
548	0.3558344581
549	0.3558149886
550	0.3557814323
551	0.3557315093
552	0.355716592
553	0.3556602313
554	0.355637877
555	0.3556303468
556	0.3555172201
557	0.3554589261
558	0.3554237479
559	0.3554134083
560	0.3553578212
561	0.3553029841
562	0.355301442
563	0.355247772
564	0.3552207768
565	0.3551809838
566	0.3551445315
567	0.3551084667
568	0.3550473021
569	0.3550111398
570	0.3549190633
571	0.3548775382
572	0.3548380029
573	0.3548208672
574	0.3547512809
575	0.3547067111
576	0.3546681022
577	0.3546007348
578	0.3545979468
579	0.354566062
580	0.3545301811
581	0.3545142749
582	0.3544704994
583	0.3544384052
584	0.3544116541
585	0.3543771861
586	0.3543394421
587	0.354281911
588	0.3542673728
589	0.3542174796
590	0.3541850777
591	0.3541642889
592	0.3541416942
593	0.3541297085
594	0.3540844105
595	0.3540577664
596	0.354017347
597	0.3539813034
598	0.3539319515
599	0.3538931548
600	0.3538666177
601	0.3537939387
602	0.3537796524
603	0.3537352674
604	0.3536774966
605	0.353655225
606	0.3535968063
607	0.3535571711
608	0.3535570458
609	0.3535150489
610	0.3535148973
611	0.3534989046
612	0.3534988577
613	0.3534987132
614	0.3534753132
615	0.3534750931
616	0.3534247721
617	0.3533979936
618	0.3533739773
619	0.3533253967
620	0.3533099509
621	0.3532778186
622	0.3532774328
623	0.3532763471
624	0.3532421703
